fee_id,order_id,fee_amount,fee_type,charged_at,settlement_id,scenario
FEE-C01-000001,ORD-C01-000001,33.94,interchange,2026-01-08T10:05:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000002,ORD-C01-000002,19.29,interchange,2026-01-09T10:10:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000003,ORD-C01-000003,30.76,interchange,2026-01-10T10:15:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000004,ORD-C01-000004,49.41,interchange,2026-01-11T10:20:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000005,ORD-C01-000005,23.45,scheme,2026-01-12T10:25:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000006,ORD-C01-000006,8.34,interchange,2026-01-13T10:30:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000007,ORD-C01-000007,19.39,interchange,2026-01-14T10:35:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000008,ORD-C01-000008,28.33,interchange,2026-01-15T10:40:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000009,ORD-C01-000009,18.95,interchange,2026-01-16T10:45:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000010,ORD-C01-000010,37.86,scheme,2026-01-17T10:50:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000011,ORD-C01-000011,49.15,interchange,2026-01-18T10:55:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000012,ORD-C01-000012,45.01,interchange,2026-01-19T11:00:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000013,ORD-C01-000013,39.65,interchange,2026-01-20T11:05:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000014,ORD-C01-000014,19.64,interchange,2026-01-21T11:10:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000015,ORD-C01-000015,36.61,scheme,2026-01-22T11:15:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000016,ORD-C01-000016,2.88,interchange,2026-01-23T11:20:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000017,ORD-C01-000017,39.98,interchange,2026-01-24T11:25:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000018,ORD-C01-000018,19.92,interchange,2026-01-25T11:30:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000019,ORD-C01-000019,36.88,interchange,2026-01-26T11:35:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000020,ORD-C01-000020,30.66,scheme,2026-01-27T11:40:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000021,ORD-C01-000021,30.80,interchange,2026-01-28T11:45:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000022,ORD-C01-000022,13.71,interchange,2026-01-29T11:50:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000023,ORD-C01-000023,2.09,interchange,2026-01-30T11:55:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000024,ORD-C01-000024,13.39,interchange,2026-01-31T10:00:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000025,ORD-C01-000025,18.81,scheme,2026-02-01T10:05:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000026,ORD-C01-000026,22.68,interchange,2026-02-02T10:10:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000027,ORD-C01-000027,36.16,interchange,2026-02-03T10:15:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000028,ORD-C01-000028,24.34,interchange,2026-02-04T10:20:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000029,ORD-C01-000029,25.66,interchange,2026-02-05T10:25:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000030,ORD-C01-000030,51.93,scheme,2026-02-06T10:30:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000031,ORD-C01-000031,23.70,interchange,2026-02-07T10:35:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000032,ORD-C01-000032,48.10,interchange,2026-02-08T10:40:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000033,ORD-C01-000033,45.68,interchange,2026-02-09T10:45:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000034,ORD-C01-000034,2.27,interchange,2026-02-10T10:50:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000035,ORD-C01-000035,53.44,scheme,2026-01-07T10:55:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000036,ORD-C01-000036,10.45,interchange,2026-01-08T11:00:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000037,ORD-C01-000037,28.97,interchange,2026-01-09T11:05:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000038,ORD-C01-000038,17.18,interchange,2026-01-10T11:10:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000039,ORD-C01-000039,34.04,interchange,2026-01-11T11:15:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000040,ORD-C01-000040,45.41,scheme,2026-01-12T11:20:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000041,ORD-C01-000041,7.09,interchange,2026-01-13T11:25:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000042,ORD-C01-000042,5.40,interchange,2026-01-14T11:30:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000043,ORD-C01-000043,41.77,interchange,2026-01-15T11:35:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000044,ORD-C01-000044,37.78,interchange,2026-01-16T11:40:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000045,ORD-C01-000045,53.81,scheme,2026-01-17T11:45:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000046,ORD-C01-000046,34.08,interchange,2026-01-18T11:50:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000047,ORD-C01-000047,2.91,interchange,2026-01-19T11:55:00Z,SET-C01-0001,fee_variance_candidate
FEE-C01-000048,ORD-C01-000048,18.70,interchange,2026-01-20T10:00:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000049,ORD-C01-000049,15.07,interchange,2026-01-21T10:05:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000050,ORD-C01-000050,50.44,scheme,2026-01-22T10:10:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000051,ORD-C01-000051,51.95,interchange,2026-01-23T10:15:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000052,ORD-C01-000052,49.56,interchange,2026-01-24T10:20:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000053,ORD-C01-000053,40.74,interchange,2026-01-25T10:25:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000054,ORD-C01-000054,45.83,interchange,2026-01-26T10:30:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000055,ORD-C01-000055,27.45,scheme,2026-01-27T10:35:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000056,ORD-C01-000056,47.47,interchange,2026-01-28T10:40:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000057,ORD-C01-000057,53.25,interchange,2026-01-29T10:45:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000058,ORD-C01-000058,30.60,interchange,2026-01-30T10:50:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000059,ORD-C01-000059,48.19,interchange,2026-01-31T10:55:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000060,ORD-C01-000060,16.45,scheme,2026-02-01T11:00:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000061,ORD-C01-000061,1.23,interchange,2026-02-02T11:05:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000062,ORD-C01-000062,7.61,interchange,2026-02-03T11:10:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000063,ORD-C01-000063,5.68,interchange,2026-02-04T11:15:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000064,ORD-C01-000064,11.55,interchange,2026-02-05T11:20:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000065,ORD-C01-000065,14.01,scheme,2026-02-06T11:25:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000066,ORD-C01-000066,9.03,interchange,2026-02-07T11:30:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000067,ORD-C01-000067,38.64,interchange,2026-02-08T11:35:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000068,ORD-C01-000068,5.13,interchange,2026-02-09T11:40:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000069,ORD-C01-000069,45.15,interchange,2026-02-10T11:45:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000070,ORD-C01-000070,32.32,scheme,2026-01-07T11:50:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000071,ORD-C01-000071,37.31,interchange,2026-01-08T11:55:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000072,ORD-C01-000072,15.85,interchange,2026-01-09T10:00:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000073,ORD-C01-000073,26.19,interchange,2026-01-10T10:05:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000074,ORD-C01-000074,37.10,interchange,2026-01-11T10:10:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000075,ORD-C01-000075,49.26,scheme,2026-01-12T10:15:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000076,ORD-C01-000076,36.58,interchange,2026-01-13T10:20:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000077,ORD-C01-000077,21.37,interchange,2026-01-14T10:25:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000078,ORD-C01-000078,16.39,interchange,2026-01-15T10:30:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000079,ORD-C01-000079,7.31,interchange,2026-01-16T10:35:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000080,ORD-C01-000080,20.60,scheme,2026-01-17T10:40:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000081,ORD-C01-000081,48.70,interchange,2026-01-18T10:45:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000082,ORD-C01-000082,1.97,interchange,2026-01-19T10:50:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000083,ORD-C01-000083,40.35,interchange,2026-01-20T10:55:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000084,ORD-C01-000084,14.51,interchange,2026-01-21T11:00:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000085,ORD-C01-000085,35.08,scheme,2026-01-22T11:05:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000086,ORD-C01-000086,1.32,interchange,2026-01-23T11:10:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000087,ORD-C01-000087,25.10,interchange,2026-01-24T11:15:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000088,ORD-C01-000088,13.64,interchange,2026-01-25T11:20:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000089,ORD-C01-000089,41.80,interchange,2026-01-26T11:25:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000090,ORD-C01-000090,24.14,scheme,2026-01-27T11:30:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000091,ORD-C01-000091,26.81,interchange,2026-01-28T11:35:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000092,ORD-C01-000092,43.58,interchange,2026-01-29T11:40:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000093,ORD-C01-000093,23.19,interchange,2026-01-30T11:45:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000094,ORD-C01-000094,51.35,interchange,2026-01-31T11:50:00Z,SET-C01-0001,fee_variance_candidate
FEE-C01-000095,ORD-C01-000095,34.05,scheme,2026-02-01T11:55:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000096,ORD-C01-000096,22.37,interchange,2026-02-02T10:00:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000097,ORD-C01-000097,43.26,interchange,2026-02-03T10:05:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000098,ORD-C01-000098,16.37,interchange,2026-02-04T10:10:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000099,ORD-C01-000099,15.27,interchange,2026-02-05T10:15:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000100,ORD-C01-000100,46.31,scheme,2026-02-06T10:20:00Z,SET-C01-0001,fee_matches_settlement
FEE-C01-000101,ORD-C01-000101,51.40,interchange,2026-02-07T10:25:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000102,ORD-C01-000102,50.77,interchange,2026-02-08T10:30:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000103,ORD-C01-000103,5.38,interchange,2026-02-09T10:35:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000104,ORD-C01-000104,11.91,interchange,2026-02-10T10:40:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000105,ORD-C01-000105,7.93,scheme,2026-01-07T10:45:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000106,ORD-C01-000106,41.60,interchange,2026-01-08T10:50:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000107,ORD-C01-000107,6.03,interchange,2026-01-09T10:55:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000108,ORD-C01-000108,15.30,interchange,2026-01-10T11:00:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000109,ORD-C01-000109,9.40,interchange,2026-01-11T11:05:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000110,ORD-C01-000110,33.18,scheme,2026-01-12T11:10:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000111,ORD-C01-000111,33.60,interchange,2026-01-13T11:15:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000112,ORD-C01-000112,14.45,interchange,2026-01-14T11:20:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000113,ORD-C01-000113,13.45,interchange,2026-01-15T11:25:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000114,ORD-C01-000114,2.02,interchange,2026-01-16T11:30:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000115,ORD-C01-000115,21.41,scheme,2026-01-17T11:35:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000116,ORD-C01-000116,34.49,interchange,2026-01-18T11:40:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000117,ORD-C01-000117,42.93,interchange,2026-01-19T11:45:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000118,ORD-C01-000118,18.31,interchange,2026-01-20T11:50:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000119,ORD-C01-000119,8.56,interchange,2026-01-21T11:55:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000120,ORD-C01-000120,10.87,scheme,2026-01-22T10:00:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000121,ORD-C01-000121,8.76,interchange,2026-01-23T10:05:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000122,ORD-C01-000122,1.94,interchange,2026-01-24T10:10:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000123,ORD-C01-000123,35.98,interchange,2026-01-25T10:15:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000124,ORD-C01-000124,53.13,interchange,2026-01-26T10:20:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000125,ORD-C01-000125,8.25,scheme,2026-01-27T10:25:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000126,ORD-C01-000126,9.23,interchange,2026-01-28T10:30:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000127,ORD-C01-000127,22.10,interchange,2026-01-29T10:35:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000128,ORD-C01-000128,48.66,interchange,2026-01-30T10:40:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000129,ORD-C01-000129,52.96,interchange,2026-01-31T10:45:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000130,ORD-C01-000130,21.09,scheme,2026-02-01T10:50:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000131,ORD-C01-000131,54.07,interchange,2026-02-02T10:55:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000132,ORD-C01-000132,22.75,interchange,2026-02-03T11:00:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000133,ORD-C01-000133,48.23,interchange,2026-02-04T11:05:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000134,ORD-C01-000134,47.66,interchange,2026-02-05T11:10:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000135,ORD-C01-000135,53.20,scheme,2026-02-06T11:15:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000136,ORD-C01-000136,5.32,interchange,2026-02-07T11:20:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000137,ORD-C01-000137,39.82,interchange,2026-02-08T11:25:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000138,ORD-C01-000138,28.08,interchange,2026-02-09T11:30:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000139,ORD-C01-000139,18.01,interchange,2026-02-10T11:35:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000140,ORD-C01-000140,50.57,scheme,2026-01-07T11:40:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000141,ORD-C01-000141,31.70,interchange,2026-01-08T11:45:00Z,SET-C01-0002,fee_variance_candidate
FEE-C01-000142,ORD-C01-000142,38.64,interchange,2026-01-09T11:50:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000143,ORD-C01-000143,53.27,interchange,2026-01-10T11:55:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000144,ORD-C01-000144,27.87,interchange,2026-01-11T10:00:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000145,ORD-C01-000145,11.75,scheme,2026-01-12T10:05:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000146,ORD-C01-000146,27.23,interchange,2026-01-13T10:10:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000147,ORD-C01-000147,28.91,interchange,2026-01-14T10:15:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000148,ORD-C01-000148,24.91,interchange,2026-01-15T10:20:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000149,ORD-C01-000149,8.99,interchange,2026-01-16T10:25:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000150,ORD-C01-000150,1.79,scheme,2026-01-17T10:30:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000151,ORD-C01-000151,22.79,interchange,2026-01-18T10:35:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000152,ORD-C01-000152,50.16,interchange,2026-01-19T10:40:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000153,ORD-C01-000153,9.89,interchange,2026-01-20T10:45:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000154,ORD-C01-000154,21.58,interchange,2026-01-21T10:50:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000155,ORD-C01-000155,42.49,scheme,2026-01-22T10:55:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000156,ORD-C01-000156,4.66,interchange,2026-01-23T11:00:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000157,ORD-C01-000157,26.04,interchange,2026-01-24T11:05:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000158,ORD-C01-000158,45.26,interchange,2026-01-25T11:10:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000159,ORD-C01-000159,4.21,interchange,2026-01-26T11:15:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000160,ORD-C01-000160,25.74,scheme,2026-01-27T11:20:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000161,ORD-C01-000161,49.84,interchange,2026-01-28T11:25:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000162,ORD-C01-000162,46.43,interchange,2026-01-29T11:30:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000163,ORD-C01-000163,49.90,interchange,2026-01-30T11:35:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000164,ORD-C01-000164,32.52,interchange,2026-01-31T11:40:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000165,ORD-C01-000165,25.07,scheme,2026-02-01T11:45:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000166,ORD-C01-000166,25.53,interchange,2026-02-02T11:50:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000167,ORD-C01-000167,50.55,interchange,2026-02-03T11:55:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000168,ORD-C01-000168,53.40,interchange,2026-02-04T10:00:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000169,ORD-C01-000169,45.70,interchange,2026-02-05T10:05:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000170,ORD-C01-000170,50.42,scheme,2026-02-06T10:10:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000171,ORD-C01-000171,32.63,interchange,2026-02-07T10:15:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000172,ORD-C01-000172,5.92,interchange,2026-02-08T10:20:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000173,ORD-C01-000173,36.43,interchange,2026-02-09T10:25:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000174,ORD-C01-000174,18.77,interchange,2026-02-10T10:30:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000175,ORD-C01-000175,25.65,scheme,2026-01-07T10:35:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000176,ORD-C01-000176,39.16,interchange,2026-01-08T10:40:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000177,ORD-C01-000177,36.91,interchange,2026-01-09T10:45:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000178,ORD-C01-000178,25.32,interchange,2026-01-10T10:50:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000179,ORD-C01-000179,19.16,interchange,2026-01-11T10:55:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000180,ORD-C01-000180,51.17,scheme,2026-01-12T11:00:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000181,ORD-C01-000181,32.66,interchange,2026-01-13T11:05:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000182,ORD-C01-000182,43.63,interchange,2026-01-14T11:10:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000183,ORD-C01-000183,53.01,interchange,2026-01-15T11:15:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000184,ORD-C01-000184,43.28,interchange,2026-01-16T11:20:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000185,ORD-C01-000185,4.04,scheme,2026-01-17T11:25:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000186,ORD-C01-000186,35.25,interchange,2026-01-18T11:30:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000187,ORD-C01-000187,7.51,interchange,2026-01-19T11:35:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000188,ORD-C01-000188,13.92,interchange,2026-01-20T11:40:00Z,SET-C01-0002,fee_variance_candidate
FEE-C01-000189,ORD-C01-000189,39.77,interchange,2026-01-21T11:45:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000190,ORD-C01-000190,46.51,scheme,2026-01-22T11:50:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000191,ORD-C01-000191,47.95,interchange,2026-01-23T11:55:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000192,ORD-C01-000192,34.29,interchange,2026-01-24T10:00:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000193,ORD-C01-000193,5.15,interchange,2026-01-25T10:05:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000194,ORD-C01-000194,6.42,interchange,2026-01-26T10:10:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000195,ORD-C01-000195,28.59,scheme,2026-01-27T10:15:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000196,ORD-C01-000196,13.40,interchange,2026-01-28T10:20:00Z,SET-C01-0002,fee_matches_settlement
FEE-C01-000197,ORD-C01-000197,34.21,interchange,2026-01-29T10:25:00Z,SET-C01-0002,fee_matches_settlement
