chargeback_id,order_id,amount,currency,occurred_at,reason_code,authorization_code,scenario
CBK-C01-000001,ORD-C01-000100,-792.47,BRL,2026-02-13T10:07:00Z,RC-02,AUTH-C01-000100,chargeback_links_to_original_order
CBK-C01-000002,ORD-C01-000101,-880.38,BRL,2026-02-14T10:14:00Z,RC-03,AUTH-C01-000101,chargeback_links_to_original_order
CBK-C01-000003,ORD-C01-000102,-869.56,BRL,2026-02-15T10:21:00Z,RC-04,AUTH-C01-000102,chargeback_links_to_original_order
CBK-C01-000004,ORD-C01-000103,-86.99,BRL,2026-02-16T10:28:00Z,RC-05,AUTH-C01-000103,chargeback_links_to_original_order
CBK-C01-000005,ORD-C01-000104,-199.59,BRL,2026-02-17T10:35:00Z,RC-06,AUTH-C01-000104,chargeback_links_to_original_order
CBK-C01-000006,ORD-C01-000105,-128.29,BRL,2026-01-14T10:42:00Z,RC-07,AUTH-C01-000105,chargeback_links_to_original_order
CBK-C01-000007,ORD-C01-000106,-708.79,BRL,2026-01-15T10:49:00Z,RC-08,AUTH-C01-000106,chargeback_links_to_original_order
CBK-C01-000008,ORD-C01-000107,-95.63,BRL,2026-01-16T10:56:00Z,RC-01,AUTH-C01-000107,chargeback_links_to_original_order
CBK-C01-000009,ORD-C01-000108,-255.50,BRL,2026-01-17T11:03:00Z,RC-02,AUTH-C01-000108,chargeback_links_to_original_order
CBK-C01-000010,ORD-C01-000109,-153.77,BRL,2026-01-18T11:10:00Z,RC-03,AUTH-C01-000109,chargeback_links_to_original_order
CBK-C01-000011,ORD-C01-000110,-569.81,BRL,2026-01-19T11:17:00Z,RC-04,AUTH-C01-000110,chargeback_links_to_original_order
CBK-C01-000012,ORD-C01-000111,-577.16,BRL,2026-01-20T11:24:00Z,RC-05,AUTH-C01-000111,chargeback_links_to_original_order
CBK-C01-000013,ORD-C01-000112,-238.25,BRL,2026-01-21T11:31:00Z,RC-06,AUTH-C01-000112,chargeback_links_to_original_order
CBK-C01-000014,ORD-C01-000113,-221.04,BRL,2026-01-22T11:38:00Z,RC-07,AUTH-C01-000113,chargeback_links_to_original_order
CBK-C01-000015,ORD-C01-000114,-24.09,BRL,2026-01-23T11:45:00Z,RC-08,AUTH-C01-000114,chargeback_links_to_original_order
CBK-C01-000016,ORD-C01-000115,-364.41,BRL,2026-01-24T11:52:00Z,RC-01,AUTH-C01-000115,chargeback_links_to_original_order
CBK-C01-000017,ORD-C01-000116,-590.07,BRL,2026-01-25T11:59:00Z,RC-02,AUTH-C01-000116,chargeback_links_to_original_order
CBK-C01-000018,ORD-C01-000117,-735.54,BRL,2026-01-26T12:06:00Z,RC-03,AUTH-C01-000117,chargeback_links_to_original_order
CBK-C01-000019,ORD-C01-000118,-311.13,BRL,2026-01-27T12:13:00Z,RC-04,AUTH-C01-000118,chargeback_links_to_original_order
CBK-C01-000020,ORD-C01-000119,-134.33,BRL,2026-01-28T12:20:00Z,RC-05,AUTH-C01-000119,chargeback_links_to_original_order
CBK-C01-000021,ORD-C01-000120,-180.21,USD,2026-01-29T12:27:00Z,RC-06,AUTH-C01-000120,chargeback_links_to_original_order
CBK-C01-000022,ORD-C01-000121,-143.81,BRL,2026-01-30T12:34:00Z,RC-07,AUTH-C01-000121,chargeback_links_to_original_order
CBK-C01-000023,ORD-C01-000122,-26.29,BRL,2026-01-31T12:41:00Z,RC-08,AUTH-C01-000122,chargeback_links_to_original_order
CBK-C01-000024,ORD-C01-000123,-613.27,BRL,2026-02-01T10:00:00Z,RC-01,AUTH-C01-000123,chargeback_links_to_original_order
CBK-C01-000025,ORD-C01-000124,-908.93,BRL,2026-02-02T10:07:00Z,RC-02,AUTH-C01-000124,chargeback_links_to_original_order
CBK-C01-000026,ORD-C01-000125,-141.28,BRL,2026-02-03T10:14:00Z,RC-03,AUTH-C01-000125,chargeback_links_to_original_order
CBK-C01-000027,ORD-C01-000126,-149.42,BRL,2026-02-04T10:21:00Z,RC-04,AUTH-C01-000126,chargeback_links_to_original_order
CBK-C01-000028,ORD-C01-000127,-371.36,BRL,2026-02-05T10:28:00Z,RC-05,AUTH-C01-000127,chargeback_links_to_original_order
CBK-C01-000029,ORD-C01-000128,-829.32,BRL,2026-02-06T10:35:00Z,RC-06,AUTH-C01-000128,chargeback_links_to_original_order
CBK-C01-000030,ORD-C01-000129,-903.52,BRL,2026-02-07T10:42:00Z,RC-07,AUTH-C01-000129,chargeback_links_to_original_order
CBK-C01-000031,ORD-C01-000130,-360.09,BRL,2026-02-08T10:49:00Z,RC-08,AUTH-C01-000130,chargeback_links_to_original_order
CBK-C01-000032,ORD-C01-000131,-928.75,BRL,2026-02-09T10:56:00Z,RC-01,AUTH-C01-000131,chargeback_links_to_original_order
CBK-C01-000033,ORD-C01-000132,-388.87,EUR,2026-02-10T11:03:00Z,RC-02,AUTH-C01-000132,chargeback_links_to_original_order
CBK-C01-000034,ORD-C01-000133,-819.40,BRL,2026-02-11T11:10:00Z,RC-03,AUTH-C01-000133,chargeback_links_to_original_order
CBK-C01-000035,ORD-C01-000134,-809.65,BRL,2026-02-12T11:17:00Z,RC-04,AUTH-C01-000134,chargeback_links_to_original_order
CBK-C01-000036,ORD-C01-000135,-911.24,BRL,2026-02-13T11:24:00Z,RC-05,AUTH-C01-000135,chargeback_links_to_original_order
CBK-C01-000037,ORD-C01-000136,-85.90,BRL,2026-02-14T11:31:00Z,RC-06,AUTH-C01-000136,chargeback_links_to_original_order
CBK-C01-000038,ORD-C01-000137,-680.64,BRL,2026-02-15T11:38:00Z,RC-07,AUTH-C01-000137,chargeback_links_to_original_order
CBK-C01-000039,ORD-C01-000138,-478.38,BRL,2026-02-16T11:45:00Z,RC-08,AUTH-C01-000138,chargeback_links_to_original_order
CBK-C01-000040,ORD-C01-000139,-304.74,BRL,2026-02-17T11:52:00Z,RC-01,AUTH-C01-000139,chargeback_links_to_original_order
CBK-C01-000041,ORD-C01-000140,-863.42,BRL,2026-01-14T11:59:00Z,RC-02,AUTH-C01-000140,chargeback_links_to_original_order
CBK-C01-000042,ORD-C01-000141,-516.58,BRL,2026-01-15T12:06:00Z,RC-03,AUTH-C01-000141,chargeback_links_to_original_order
CBK-C01-000043,ORD-C01-000142,-657.89,BRL,2026-01-16T12:13:00Z,RC-04,AUTH-C01-000142,chargeback_links_to_original_order
CBK-C01-000044,ORD-C01-000143,-910.11,BRL,2026-01-17T12:20:00Z,RC-05,AUTH-C01-000143,chargeback_links_to_original_order
CBK-C01-000045,ORD-C01-000144,-472.22,BRL,2026-01-18T12:27:00Z,RC-06,AUTH-C01-000144,chargeback_links_to_original_order
CBK-C01-000046,ORD-C01-000145,-200.33,BRL,2026-01-19T12:34:00Z,RC-07,AUTH-C01-000145,chargeback_links_to_original_order
CBK-C01-000047,ORD-C01-000146,-467.39,BRL,2026-01-20T12:41:00Z,RC-08,AUTH-C01-000146,chargeback_links_to_original_order
CBK-C01-000048,ORD-C01-000147,-487.63,BRL,2026-01-21T10:00:00Z,RC-01,AUTH-C01-000147,chargeback_links_to_original_order
CBK-C01-000049,ORD-C01-000148,-418.66,BRL,2026-01-22T10:07:00Z,RC-02,AUTH-C01-000148,chargeback_links_to_original_order
CBK-C01-000050,ORD-C01-000149,-144.25,BRL,2026-01-23T10:14:00Z,RC-03,AUTH-C01-000149,chargeback_links_to_original_order
CBK-C01-000051,ORD-C01-000150,-26.23,BRL,2026-01-24T10:21:00Z,RC-04,AUTH-C01-000150,chargeback_links_to_original_order
CBK-C01-000052,ORD-C01-000151,-388.19,BRL,2026-01-25T10:28:00Z,RC-05,AUTH-C01-000151,chargeback_links_to_original_order
CBK-C01-000053,ORD-C01-000152,-860.17,BRL,2026-01-26T10:35:00Z,RC-06,AUTH-C01-000152,chargeback_links_to_original_order
CBK-C01-000054,ORD-C01-000153,-165.91,BRL,2026-01-27T10:42:00Z,RC-07,AUTH-C01-000153,chargeback_links_to_original_order
CBK-C01-000055,ORD-C01-000154,-358.84,BRL,2026-01-28T10:49:00Z,RC-08,AUTH-C01-000154,chargeback_links_to_original_order
CBK-C01-000056,ORD-C01-000155,-725.43,BRL,2026-01-29T10:56:00Z,RC-01,AUTH-C01-000155,chargeback_links_to_original_order
CBK-C01-000057,ORD-C01-000156,-73.12,USD,2026-01-30T11:03:00Z,RC-02,AUTH-C01-000156,chargeback_links_to_original_order
CBK-C01-000058,ORD-C01-000157,-441.78,BRL,2026-01-31T11:10:00Z,RC-03,AUTH-C01-000157,chargeback_links_to_original_order
CBK-C01-000059,ORD-C01-000158,-773.25,BRL,2026-02-01T11:17:00Z,RC-04,AUTH-C01-000158,chargeback_links_to_original_order
CBK-C01-000060,ORD-C01-000159,-65.54,BRL,2026-02-02T11:24:00Z,RC-05,AUTH-C01-000159,chargeback_links_to_original_order
CBK-C01-000061,ORD-C01-000160,-442.86,BRL,2026-02-03T11:31:00Z,RC-06,AUTH-C01-000160,chargeback_links_to_original_order
CBK-C01-000062,ORD-C01-000161,-849.58,BRL,2026-02-04T11:38:00Z,RC-07,AUTH-C01-000161,chargeback_links_to_original_order
CBK-C01-000063,ORD-C01-000162,-790.84,BRL,2026-02-05T11:45:00Z,RC-08,AUTH-C01-000162,chargeback_links_to_original_order
CBK-C01-000064,ORD-C01-000163,-850.71,BRL,2026-02-06T11:52:00Z,RC-01,AUTH-C01-000163,chargeback_links_to_original_order
CBK-C01-000065,ORD-C01-000164,-551.08,BRL,2026-02-07T11:59:00Z,RC-02,AUTH-C01-000164,chargeback_links_to_original_order
CBK-C01-000066,ORD-C01-000165,-428.74,BRL,2026-02-08T12:06:00Z,RC-03,AUTH-C01-000165,chargeback_links_to_original_order
CBK-C01-000067,ORD-C01-000166,-436.83,BRL,2026-02-09T12:13:00Z,RC-04,AUTH-C01-000166,chargeback_links_to_original_order
CBK-C01-000068,ORD-C01-000167,-868.23,BRL,2026-02-10T12:20:00Z,RC-05,AUTH-C01-000167,chargeback_links_to_original_order
CBK-C01-000069,ORD-C01-000168,-908.69,EUR,2026-02-11T12:27:00Z,RC-06,AUTH-C01-000168,chargeback_links_to_original_order
CBK-C01-000070,ORD-C01-000169,-775.85,BRL,2026-02-12T12:34:00Z,RC-07,AUTH-C01-000169,chargeback_links_to_original_order
CBK-C01-000071,ORD-C01-000170,-863.31,BRL,2026-02-13T12:41:00Z,RC-08,AUTH-C01-000170,chargeback_links_to_original_order
CBK-C01-000072,ORD-C01-000171,-556.71,BRL,2026-02-14T10:00:00Z,RC-01,AUTH-C01-000171,chargeback_links_to_original_order
CBK-C01-000073,ORD-C01-000172,-96.23,BRL,2026-02-15T10:07:00Z,RC-02,AUTH-C01-000172,chargeback_links_to_original_order
CBK-C01-000074,ORD-C01-000173,-622.28,BRL,2026-02-16T10:14:00Z,RC-03,AUTH-C01-000173,chargeback_links_to_original_order
CBK-C01-000075,ORD-C01-000174,-317.91,BRL,2026-02-17T10:21:00Z,RC-04,AUTH-C01-000174,chargeback_links_to_original_order
CBK-C01-000076,ORD-C01-000175,-433.82,BRL,2026-01-14T10:28:00Z,RC-05,AUTH-C01-000175,chargeback_links_to_original_order
CBK-C01-000077,ORD-C01-000176,-666.70,BRL,2026-01-15T10:35:00Z,RC-06,AUTH-C01-000176,chargeback_links_to_original_order
CBK-C01-000078,ORD-C01-000177,-628.06,BRL,2026-01-16T10:42:00Z,RC-07,AUTH-C01-000177,chargeback_links_to_original_order
CBK-C01-000079,ORD-C01-000178,-428.20,BRL,2026-01-17T10:49:00Z,RC-08,AUTH-C01-000178,chargeback_links_to_original_order
CBK-C01-000080,ORD-C01-000179,-322.00,BRL,2026-01-18T10:56:00Z,RC-01,AUTH-C01-000179,chargeback_links_to_original_order
CBK-C01-000081,ORD-C01-000180,-880.08,BRL,2026-01-19T11:03:00Z,RC-02,AUTH-C01-000180,chargeback_links_to_original_order
CBK-C01-000082,ORD-C01-000181,-560.95,BRL,2026-01-20T11:10:00Z,RC-03,AUTH-C01-000181,chargeback_links_to_original_order
CBK-C01-000083,ORD-C01-000182,-741.41,BRL,2026-01-21T11:17:00Z,RC-04,AUTH-C01-000182,chargeback_links_to_original_order
CBK-C01-000084,ORD-C01-000183,-903.15,BRL,2026-01-22T11:24:00Z,RC-05,AUTH-C01-000183,chargeback_links_to_original_order
CBK-C01-000085,ORD-C01-000184,-735.48,BRL,2026-01-23T11:31:00Z,RC-06,AUTH-C01-000184,chargeback_links_to_original_order
CBK-C01-000086,ORD-C01-000185,-65.04,BRL,2026-01-24T11:38:00Z,RC-07,AUTH-C01-000185,chargeback_links_to_original_order
CBK-C01-000087,ORD-C01-000186,-603.10,BRL,2026-01-25T11:45:00Z,RC-08,AUTH-C01-000186,chargeback_links_to_original_order
CBK-C01-000088,ORD-C01-000187,-124.84,BRL,2026-01-26T11:52:00Z,RC-01,AUTH-C01-000187,chargeback_links_to_original_order
CBK-C01-000089,ORD-C01-000188,-213.88,BRL,2026-01-27T11:59:00Z,RC-02,AUTH-C01-000188,chargeback_links_to_original_order
CBK-C01-000090,ORD-C01-000189,-672.39,BRL,2026-01-28T12:06:00Z,RC-03,AUTH-C01-000189,chargeback_links_to_original_order
CBK-C01-000091,ORD-C01-000190,-794.75,BRL,2026-01-29T12:13:00Z,RC-04,AUTH-C01-000190,chargeback_links_to_original_order
CBK-C01-000092,ORD-C01-000191,-819.63,BRL,2026-01-30T12:20:00Z,RC-05,AUTH-C01-000191,chargeback_links_to_original_order
CBK-C01-000093,ORD-C01-000192,-584.12,USD,2026-01-31T12:27:00Z,RC-06,AUTH-C01-000192,chargeback_links_to_original_order
CBK-C01-000094,ORD-C01-000193,-81.78,BRL,2026-02-01T12:34:00Z,RC-07,AUTH-C01-000193,chargeback_links_to_original_order
CBK-C01-000095,ORD-C01-000194,-103.71,BRL,2026-02-02T12:41:00Z,RC-08,AUTH-C01-000194,chargeback_links_to_original_order
CBK-C01-000096,ORD-C01-000195,-492.06,BRL,2026-02-03T10:00:00Z,RC-01,AUTH-C01-000195,chargeback_links_to_original_order
CBK-C01-000097,ORD-C01-000196,-221.40,BRL,2026-02-04T10:07:00Z,RC-02,AUTH-C01-000196,chargeback_links_to_original_order
CBK-C01-000098,ORD-C01-000197,-580.17,BRL,2026-02-05T10:14:00Z,RC-03,AUTH-C01-000197,chargeback_links_to_original_order
