ledger_tx_id,order_id,amount,currency,occurred_at,description,merchant_id,authorization_code,scenario
LED-C01-000001,ORD-C01-000001,1151.20,BRL,2026-01-06T10:11:00Z,Card sale for synthetic order ORD-C01-000001,MRC-C01-002,AUTH-C01-000001,ledger_sale_candidate
LED-C01-000002,ORD-C01-000002,643.31,BRL,2026-01-07T10:22:00Z,Card sale for synthetic order ORD-C01-000002,MRC-C01-003,AUTH-C01-000002,ledger_sale_candidate
LED-C01-000003,ORD-C01-000003,1036.46,BRL,2026-01-08T10:33:00Z,Card sale for synthetic order ORD-C01-000003,MRC-C01-004,AUTH-C01-000003,ledger_sale_candidate
LED-C01-000004,ORD-C01-000004,1677.13,BRL,2026-01-09T10:44:00Z,Card sale for synthetic order ORD-C01-000004,MRC-C01-005,AUTH-C01-000004,ledger_sale_candidate
LED-C01-000005,ORD-C01-000005,791.81,BRL,2026-01-10T10:55:00Z,Card sale for synthetic order ORD-C01-000005,MRC-C01-006,AUTH-C01-000005,ledger_sale_candidate
LED-C01-000006,ORD-C01-000006,268.40,BRL,2026-01-11T11:06:00Z,Card sale for synthetic order ORD-C01-000006,MRC-C01-007,AUTH-C01-000006,ledger_sale_candidate
LED-C01-000007,ORD-C01-000007,647.06,BRL,2026-01-12T11:17:00Z,Card sale for synthetic order ORD-C01-000007,MRC-C01-008,AUTH-C01-000007,ledger_sale_candidate
LED-C01-000008,ORD-C01-000008,952.66,BRL,2026-01-13T11:28:00Z,Card sale for synthetic order ORD-C01-000008,MRC-C01-009,AUTH-C01-000008,ledger_sale_candidate
LED-C01-000009,ORD-C01-000009,627.01,BRL,2026-01-14T11:39:00Z,Card sale for synthetic order ORD-C01-000009,MRC-C01-010,AUTH-C01-000009,ledger_sale_candidate
LED-C01-000010,ORD-C01-000010,1288.75,BRL,2026-01-15T11:50:00Z,Card sale for synthetic order ORD-C01-000010,MRC-C01-011,AUTH-C01-000010,ledger_sale_candidate
LED-C01-000011,ORD-C01-000011,1675.52,BRL,2026-01-16T12:01:00Z,Card sale for synthetic order ORD-C01-000011,MRC-C01-012,AUTH-C01-000011,ledger_sale_candidate
LED-C01-000012,ORD-C01-000012,1530.43,USD,2026-01-17T10:00:00Z,Card sale for synthetic order ORD-C01-000012,MRC-C01-013,AUTH-C01-000012,ledger_sale_candidate
LED-C01-000013,ORD-C01-000013,1343.07,BRL,2026-01-18T10:11:00Z,Card sale for synthetic order ORD-C01-000013,MRC-C01-014,AUTH-C01-000013,ledger_sale_candidate
LED-C01-000014,ORD-C01-000014,650.75,BRL,2026-01-19T10:22:00Z,Card sale for synthetic order ORD-C01-000014,MRC-C01-015,AUTH-C01-000014,ledger_sale_candidate
LED-C01-000015,ORD-C01-000015,1245.60,BRL,2026-01-20T10:33:00Z,Card sale for synthetic order ORD-C01-000015,MRC-C01-016,AUTH-C01-000015,ledger_sale_candidate
LED-C01-000016,ORD-C01-000016,79.98,BRL,2026-01-21T10:44:00Z,Card sale for synthetic order ORD-C01-000016,MRC-C01-017,AUTH-C01-000016,ledger_sale_candidate
LED-C01-000017,ORD-C01-000017,1356.95,BRL,2026-01-22T10:55:00Z,Card sale for synthetic order ORD-C01-000017,MRC-C01-018,AUTH-C01-000017,ledger_sale_candidate
LED-C01-000018,ORD-C01-000018,662.82,BRL,2026-01-23T11:06:00Z,Card sale for synthetic order ORD-C01-000018,MRC-C01-019,AUTH-C01-000018,ledger_sale_candidate
LED-C01-000019,ORD-C01-000019,1245.03,BRL,2026-01-24T11:17:00Z,Card sale for synthetic order ORD-C01-000019,MRC-C01-020,AUTH-C01-000019,ledger_sale_candidate
LED-C01-000020,ORD-C01-000020,1040.20,BRL,2026-01-25T11:28:00Z,Card sale for synthetic order ORD-C01-000020,MRC-C01-021,AUTH-C01-000020,ledger_sale_candidate
LED-C01-000021,ORD-C01-000021,1042.75,BRL,2026-01-26T11:39:00Z,Card sale for synthetic order ORD-C01-000021,MRC-C01-022,AUTH-C01-000021,ledger_sale_candidate
LED-C01-000022,ORD-C01-000022,451.01,BRL,2026-01-27T11:50:00Z,Card sale for synthetic order ORD-C01-000022,MRC-C01-023,AUTH-C01-000022,ledger_sale_candidate
LED-C01-000023,ORD-C01-000023,47.99,BRL,2026-01-28T12:01:00Z,Card sale for synthetic order ORD-C01-000023,MRC-C01-024,AUTH-C01-000023,ledger_sale_candidate
LED-C01-000024,ORD-C01-000024,435.17,EUR,2026-01-29T10:00:00Z,Card sale for synthetic order ORD-C01-000024,MRC-C01-001,AUTH-C01-000024,ledger_sale_candidate
LED-C01-000025,ORD-C01-000025,631.70,BRL,2026-01-30T10:11:00Z,Card sale for synthetic order ORD-C01-000025,MRC-C01-002,AUTH-C01-000025,ledger_sale_candidate
LED-C01-000026,ORD-C01-000026,762.63,BRL,2026-01-31T10:22:00Z,Card sale for synthetic order ORD-C01-000026,MRC-C01-003,AUTH-C01-000026,ledger_sale_candidate
LED-C01-000027,ORD-C01-000027,1225.30,BRL,2026-02-01T10:33:00Z,Card sale for synthetic order ORD-C01-000027,MRC-C01-004,AUTH-C01-000027,ledger_sale_candidate
LED-C01-000028,ORD-C01-000028,815.31,BRL,2026-02-02T10:44:00Z,Card sale for synthetic order ORD-C01-000028,MRC-C01-005,AUTH-C01-000028,ledger_sale_candidate
LED-C01-000029,ORD-C01-000029,858.39,BRL,2026-02-03T10:55:00Z,Card sale for synthetic order ORD-C01-000029,MRC-C01-006,AUTH-C01-000029,ledger_sale_candidate
LED-C01-000030,ORD-C01-000030,1773.84,BRL,2026-02-04T11:06:00Z,Card sale for synthetic order ORD-C01-000030,MRC-C01-007,AUTH-C01-000030,ledger_sale_candidate
LED-C01-000031,ORD-C01-000031,797.96,BRL,2026-02-05T11:17:00Z,Card sale for synthetic order ORD-C01-000031,MRC-C01-008,AUTH-C01-000031,ledger_sale_candidate
LED-C01-000032,ORD-C01-000032,1637.00,BRL,2026-02-06T11:28:00Z,Card sale for synthetic order ORD-C01-000032,MRC-C01-009,AUTH-C01-000032,ledger_sale_candidate
LED-C01-000033,ORD-C01-000033,1550.97,BRL,2026-02-07T11:39:00Z,Card sale for synthetic order ORD-C01-000033,MRC-C01-010,AUTH-C01-000033,ledger_sale_candidate
LED-C01-000034,ORD-C01-000034,51.57,BRL,2026-02-08T11:50:00Z,Card sale for synthetic order ORD-C01-000034,MRC-C01-011,AUTH-C01-000034,ledger_sale_candidate
LED-C01-000035,ORD-C01-000035,1825.93,BRL,2026-01-05T12:01:00Z,Card sale for synthetic order ORD-C01-000035,MRC-C01-012,AUTH-C01-000035,ledger_sale_candidate
LED-C01-000036,ORD-C01-000036,341.15,BRL,2026-01-06T10:00:00Z,Card sale for synthetic order ORD-C01-000036,MRC-C01-013,AUTH-C01-000036,ledger_sale_candidate
LED-C01-000037,ORD-C01-000037,977.17,BRL,2026-01-07T10:11:00Z,Card sale for synthetic order ORD-C01-000037,MRC-C01-014,AUTH-C01-000037,ledger_sale_candidate
LED-C01-000038,ORD-C01-000038,568.27,BRL,2026-01-08T10:22:00Z,Card sale for synthetic order ORD-C01-000038,MRC-C01-015,AUTH-C01-000038,ledger_sale_candidate
LED-C01-000039,ORD-C01-000039,1147.20,BRL,2026-01-09T10:33:00Z,Card sale for synthetic order ORD-C01-000039,MRC-C01-016,AUTH-C01-000039,ledger_sale_candidate
LED-C01-000040,ORD-C01-000040,1548.86,BRL,2026-01-10T10:44:00Z,Card sale for synthetic order ORD-C01-000040,MRC-C01-017,AUTH-C01-000040,ledger_sale_candidate
LED-C01-000041,ORD-C01-000041,225.09,BRL,2026-01-11T10:55:00Z,Card sale for synthetic order ORD-C01-000041,MRC-C01-018,AUTH-C01-000041,ledger_sale_candidate
LED-C01-000042,ORD-C01-000042,164.52,BRL,2026-01-12T11:06:00Z,Card sale for synthetic order ORD-C01-000042,MRC-C01-019,AUTH-C01-000042,ledger_sale_candidate
LED-C01-000043,ORD-C01-000043,1416.20,BRL,2026-01-13T11:17:00Z,Card sale for synthetic order ORD-C01-000043,MRC-C01-020,AUTH-C01-000043,ledger_sale_candidate
LED-C01-000044,ORD-C01-000044,1276.27,BRL,2026-01-14T11:28:00Z,Card sale for synthetic order ORD-C01-000044,MRC-C01-021,AUTH-C01-000044,ledger_sale_candidate
LED-C01-000045,ORD-C01-000045,1838.75,BRL,2026-01-15T11:39:00Z,Card sale for synthetic order ORD-C01-000045,MRC-C01-022,AUTH-C01-000045,ledger_sale_candidate
LED-C01-000046,ORD-C01-000046,1155.99,BRL,2026-01-16T11:50:00Z,Card sale for synthetic order ORD-C01-000046,MRC-C01-023,AUTH-C01-000046,ledger_sale_candidate
LED-C01-000047,ORD-C01-000047,35.61,BRL,2026-01-17T12:01:00Z,Card sale for synthetic order ORD-C01-000047,MRC-C01-024,AUTH-C01-000047,ledger_sale_candidate
LED-C01-000048,ORD-C01-000048,620.68,USD,2026-01-18T10:00:00Z,Card sale for synthetic order ORD-C01-000048,MRC-C01-001,AUTH-C01-000048,ledger_sale_candidate
LED-C01-000049,ORD-C01-000049,493.25,BRL,2026-01-19T10:11:00Z,Card sale for synthetic order ORD-C01-000049,MRC-C01-002,AUTH-C01-000049,ledger_sale_candidate
LED-C01-000050,ORD-C01-000050,1722.31,BRL,2026-01-20T10:22:00Z,Card sale for synthetic order ORD-C01-000050,MRC-C01-003,AUTH-C01-000050,ledger_sale_candidate
LED-C01-000051,ORD-C01-000051,1772.02,BRL,2026-01-21T10:33:00Z,Card sale for synthetic order ORD-C01-000051,MRC-C01-004,AUTH-C01-000051,ledger_sale_candidate
LED-C01-000052,ORD-C01-000052,1687.38,BRL,2026-01-22T10:44:00Z,Card sale for synthetic order ORD-C01-000052,MRC-C01-005,AUTH-C01-000052,ledger_sale_candidate
LED-C01-000053,ORD-C01-000053,1380.64,BRL,2026-01-23T10:55:00Z,Card sale for synthetic order ORD-C01-000053,MRC-C01-006,AUTH-C01-000053,ledger_sale_candidate
LED-C01-000054,ORD-C01-000054,1553.77,BRL,2026-01-24T11:06:00Z,Card sale for synthetic order ORD-C01-000054,MRC-C01-007,AUTH-C01-000054,ledger_sale_candidate
LED-C01-000055,ORD-C01-000055,929.58,BRL,2026-01-25T11:17:00Z,Card sale for synthetic order ORD-C01-000055,MRC-C01-008,AUTH-C01-000055,ledger_sale_candidate
LED-C01-000056,ORD-C01-000056,1617.47,BRL,2026-01-26T11:28:00Z,Card sale for synthetic order ORD-C01-000056,MRC-C01-009,AUTH-C01-000056,ledger_sale_candidate
LED-C01-000057,ORD-C01-000057,1814.65,BRL,2026-01-27T11:39:00Z,Card sale for synthetic order ORD-C01-000057,MRC-C01-010,AUTH-C01-000057,ledger_sale_candidate
LED-C01-000058,ORD-C01-000058,1030.89,BRL,2026-01-28T11:50:00Z,Card sale for synthetic order ORD-C01-000058,MRC-C01-011,AUTH-C01-000058,ledger_sale_candidate
LED-C01-000059,ORD-C01-000059,1635.29,BRL,2026-01-29T12:01:00Z,Card sale for synthetic order ORD-C01-000059,MRC-C01-012,AUTH-C01-000059,ledger_sale_candidate
