adjustment_id,reference,end_to_end_id,amount,currency,adjustment_date,reason,scenario
ADJ-C02-000001,REF-C02-000001,E2E-C02-000000001,1.12,BRL,2026-02-05,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000002,REF-C02-000002,E2E-C02-000000002,1.24,BRL,2026-02-06,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000003,REF-C02-000003,E2E-C02-000000003,1.36,BRL,2026-02-07,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000004,REF-C02-000004,E2E-C02-000000004,1.48,BRL,2026-02-08,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000005,REF-C02-000005,E2E-C02-000000005,1.60,BRL,2026-02-09,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000006,REF-C02-000006,E2E-C02-000000006,1.72,BRL,2026-02-10,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000007,REF-C02-000007,E2E-C02-000000007,1.84,BRL,2026-02-11,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000008,REF-C02-000008,E2E-C02-000000008,1.96,BRL,2026-02-12,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000009,REF-C02-000009,E2E-C02-000000009,2.08,BRL,2026-02-13,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000010,REF-C02-000010,E2E-C02-000000010,2.20,BRL,2026-02-14,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000011,REF-C02-000011,E2E-C02-000000011,2.32,BRL,2026-02-15,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000012,REF-C02-000012,E2E-C02-000000012,2.44,USD,2026-02-16,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000013,REF-C02-000013,E2E-C02-000000013,2.56,BRL,2026-02-17,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000014,REF-C02-000014,E2E-C02-000000014,2.68,BRL,2026-02-18,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000015,REF-C02-000015,E2E-C02-000000015,2.80,BRL,2026-02-19,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000016,REF-C02-000016,E2E-C02-000000016,2.92,BRL,2026-02-20,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000017,REF-C02-000017,E2E-C02-000000017,1.00,BRL,2026-02-21,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000018,REF-C02-000018,E2E-C02-000000018,1.12,BRL,2026-02-22,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000019,REF-C02-000019,E2E-C02-000000019,1.24,BRL,2026-02-23,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000020,REF-C02-000020,E2E-C02-000000020,1.36,BRL,2026-02-24,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000021,REF-C02-000021,E2E-C02-000000021,1.48,BRL,2026-02-25,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000022,REF-C02-000022,E2E-C02-000000022,1.60,BRL,2026-02-26,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000023,REF-C02-000023,E2E-C02-000000023,1.72,BRL,2026-02-27,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
