bank_entry_id,end_to_end_id,amount,currency,booking_date,description,bank_account,reference,scenario
BNK-C02-000001,E2E-C02-000000001,214.16,BRL,2026-02-03,Synthetic bank statement line REF-C02-000001,BANK-C02-002,REF-C02-000001,bank_statement_match_candidate
BNK-C02-000002,E2E-C02-000000002,414.02,BRL,2026-02-04,Synthetic bank statement line REF-C02-000002,BANK-C02-003,REF-C02-000002,bank_statement_match_candidate
BNK-C02-000003,E2E-C02-000000003,361.40,BRL,2026-02-05,Synthetic bank statement line REF-C02-000003,BANK-C02-004,REF-C02-000003,bank_statement_match_candidate
BNK-C02-000004,E2E-C02-000000004,646.08,BRL,2026-02-06,Synthetic bank statement line REF-C02-000004,BANK-C02-005,REF-C02-000004,bank_statement_match_candidate
BNK-C02-000005,E2E-C02-000000005,946.69,BRL,2026-02-07,Synthetic bank statement line REF-C02-000005,BANK-C02-006,REF-C02-000005,bank_statement_match_candidate
BNK-C02-000006,E2E-C02-000000006,730.54,BRL,2026-02-08,Synthetic bank statement line REF-C02-000006,BANK-C02-007,REF-C02-000006,bank_statement_match_candidate
BNK-C02-000007,E2E-C02-000000007,25.36,BRL,2026-02-09,Synthetic bank statement line REF-C02-000007,BANK-C02-008,REF-C02-000007,bank_statement_match_candidate
BNK-C02-000008,E2E-C02-000000008,563.23,BRL,2026-02-10,Synthetic bank statement line REF-C02-000008,BANK-C02-009,REF-C02-000008,bank_statement_match_candidate
BNK-C02-000009,E2E-C02-000000009,99.68,BRL,2026-02-11,Synthetic bank statement line REF-C02-000009,BANK-C02-001,REF-C02-000009,bank_statement_match_candidate
BNK-C02-000010,E2E-C02-000000010,278.94,BRL,2026-02-12,Synthetic bank statement line REF-C02-000010,BANK-C02-002,REF-C02-000010,bank_statement_match_candidate
BNK-C02-000011,E2E-C02-000000011,718.84,BRL,2026-02-14,Synthetic bank statement line REF-C02-000011,BANK-C02-003,REF-C02-000011,bank_statement_match_candidate
BNK-C02-000012,E2E-C02-000000012,771.74,USD,2026-02-14,Synthetic bank statement line REF-C02-000012,BANK-C02-004,REF-C02-000012,bank_statement_match_candidate
BNK-C02-000013,E2E-C02-000000013,143.62,BRL,2026-02-15,Synthetic bank statement line REF-C02-000013,BANK-C02-005,REF-C02-000013,bank_statement_match_candidate
BNK-C02-000014,E2E-C02-000000014,306.23,BRL,2026-02-16,Synthetic bank statement line REF-C02-000014,BANK-C02-006,REF-C02-000014,bank_statement_match_candidate
BNK-C02-000015,E2E-C02-000000015,750.63,BRL,2026-02-17,Synthetic bank statement line REF-C02-000015,BANK-C02-007,REF-C02-000015,bank_statement_match_candidate
BNK-C02-000016,E2E-C02-000000016,689.54,BRL,2026-02-18,Synthetic bank statement line REF-C02-000016,BANK-C02-008,REF-C02-000016,bank_statement_match_candidate
BNK-C02-000017,E2E-C02-000000017,122.12,BRL,2026-02-19,Synthetic bank statement line REF-C02-000017,BANK-C02-009,REF-C02-000017,bank_statement_match_candidate
BNK-C02-000018,E2E-C02-000000018,476.74,BRL,2026-02-20,Synthetic bank statement line REF-C02-000018,BANK-C02-001,REF-C02-000018,bank_statement_match_candidate
BNK-C02-000019,E2E-C02-000000019,250.72,BRL,2026-02-21,Synthetic bank statement line REF-C02-000019,BANK-C02-002,REF-C02-000019,bank_statement_match_candidate
