order_id,seller_id,buyer_id,gross_amount,currency,order_date,status,payment_id,scenario
ORD-C03-000001,SEL-C03-001,BUY-C03-0008,1737.79,BRL,2026-03-05T12:13:00Z,paid,PAY-C03-000001,order_gateway_payout_candidate
ORD-C03-000002,SEL-C03-002,BUY-C03-0015,511.72,BRL,2026-03-06T12:26:00Z,paid,PAY-C03-000002,order_gateway_payout_candidate
ORD-C03-000003,SEL-C03-003,BUY-C03-0022,1482.05,BRL,2026-03-07T12:39:00Z,paid,PAY-C03-000003,order_gateway_payout_candidate
ORD-C03-000004,SEL-C03-004,BUY-C03-0029,761.14,BRL,2026-03-08T12:52:00Z,paid,PAY-C03-000004,order_gateway_payout_candidate
ORD-C03-000005,SEL-C03-005,BUY-C03-0036,1686.10,BRL,2026-03-09T13:05:00Z,paid,PAY-C03-000005,order_gateway_payout_candidate
ORD-C03-000006,SEL-C03-006,BUY-C03-0043,1973.13,BRL,2026-03-10T13:18:00Z,paid,PAY-C03-000006,order_gateway_payout_candidate
ORD-C03-000007,SEL-C03-007,BUY-C03-0050,948.15,BRL,2026-03-11T13:31:00Z,paid,PAY-C03-000007,order_gateway_payout_candidate
ORD-C03-000008,SEL-C03-008,BUY-C03-0057,756.00,BRL,2026-03-12T13:44:00Z,paid,PAY-C03-000008,order_gateway_payout_candidate
ORD-C03-000009,SEL-C03-009,BUY-C03-0064,837.20,BRL,2026-03-13T13:57:00Z,paid,PAY-C03-000009,order_gateway_payout_candidate
ORD-C03-000010,SEL-C03-010,BUY-C03-0071,611.56,BRL,2026-03-14T14:10:00Z,paid,PAY-C03-000010,order_gateway_payout_candidate
ORD-C03-000011,SEL-C03-011,BUY-C03-0078,1554.88,BRL,2026-03-15T14:23:00Z,paid,PAY-C03-000011,order_gateway_payout_candidate
ORD-C03-000012,SEL-C03-012,BUY-C03-0085,2117.99,USD,2026-03-16T14:36:00Z,paid,PAY-C03-000012,order_gateway_payout_candidate
ORD-C03-000013,SEL-C03-013,BUY-C03-0092,1808.19,BRL,2026-03-17T14:49:00Z,paid,PAY-C03-000013,order_gateway_payout_candidate
ORD-C03-000014,SEL-C03-014,BUY-C03-0099,1178.49,BRL,2026-03-18T15:02:00Z,paid,PAY-C03-000014,order_gateway_payout_candidate
ORD-C03-000015,SEL-C03-015,BUY-C03-0106,1058.62,BRL,2026-03-19T15:15:00Z,paid,PAY-C03-000015,order_gateway_payout_candidate
ORD-C03-000016,SEL-C03-016,BUY-C03-0113,95.22,BRL,2026-03-20T15:28:00Z,paid,PAY-C03-000016,order_gateway_payout_candidate
ORD-C03-000017,SEL-C03-017,BUY-C03-0120,649.06,BRL,2026-03-21T15:41:00Z,refunded,PAY-C03-000017,order_has_refund
ORD-C03-000018,SEL-C03-018,BUY-C03-0127,1614.71,BRL,2026-03-22T15:54:00Z,paid,PAY-C03-000018,order_gateway_payout_candidate
ORD-C03-000019,SEL-C03-019,BUY-C03-0134,47.73,BRL,2026-03-23T16:07:00Z,paid,PAY-C03-000019,order_gateway_payout_candidate
ORD-C03-000020,SEL-C03-020,BUY-C03-0141,2039.74,BRL,2026-03-24T12:00:00Z,paid,PAY-C03-000020,order_gateway_payout_candidate
ORD-C03-000021,SEL-C03-021,BUY-C03-0148,1379.92,BRL,2026-03-25T12:13:00Z,paid,PAY-C03-000021,order_gateway_payout_candidate
ORD-C03-000022,SEL-C03-022,BUY-C03-0155,1131.07,BRL,2026-03-26T12:26:00Z,paid,PAY-C03-000022,order_gateway_payout_candidate
ORD-C03-000023,SEL-C03-023,BUY-C03-0162,1991.89,BRL,2026-03-27T12:39:00Z,paid,PAY-C03-000023,order_gateway_payout_candidate
ORD-C03-000024,SEL-C03-024,BUY-C03-0169,1860.60,EUR,2026-03-28T12:52:00Z,paid,PAY-C03-000024,order_gateway_payout_candidate
ORD-C03-000025,SEL-C03-025,BUY-C03-0176,1938.61,BRL,2026-03-29T13:05:00Z,paid,PAY-C03-000025,order_gateway_payout_candidate
ORD-C03-000026,SEL-C03-026,BUY-C03-0183,1218.89,BRL,2026-03-30T13:18:00Z,paid,PAY-C03-000026,order_gateway_payout_candidate
ORD-C03-000027,SEL-C03-027,BUY-C03-0190,209.98,BRL,2026-03-31T13:31:00Z,paid,PAY-C03-000027,order_gateway_payout_candidate
ORD-C03-000028,SEL-C03-028,BUY-C03-0197,1779.49,BRL,2026-04-01T13:44:00Z,paid,PAY-C03-000028,order_gateway_payout_candidate
ORD-C03-000029,SEL-C03-029,BUY-C03-0204,880.42,BRL,2026-04-02T13:57:00Z,disputed,PAY-C03-000029,order_needs_review
ORD-C03-000030,SEL-C03-030,BUY-C03-0211,1634.68,BRL,2026-04-03T14:10:00Z,paid,PAY-C03-000030,order_gateway_payout_candidate
ORD-C03-000031,SEL-C03-031,BUY-C03-0218,1266.73,BRL,2026-03-04T14:23:00Z,pending,PAY-C03-000031,order_not_captured_yet
ORD-C03-000032,SEL-C03-032,BUY-C03-0225,1258.87,BRL,2026-03-05T14:36:00Z,paid,PAY-C03-000032,order_gateway_payout_candidate
ORD-C03-000033,SEL-C03-033,BUY-C03-0232,1320.32,BRL,2026-03-06T14:49:00Z,paid,PAY-C03-000033,order_gateway_payout_candidate
ORD-C03-000034,SEL-C03-034,BUY-C03-0239,82.93,BRL,2026-03-07T15:02:00Z,refunded,PAY-C03-000034,order_has_refund
ORD-C03-000035,SEL-C03-035,BUY-C03-0246,1618.40,BRL,2026-03-08T15:15:00Z,paid,PAY-C03-000035,order_gateway_payout_candidate
ORD-C03-000036,SEL-C03-036,BUY-C03-0253,1619.39,BRL,2026-03-09T15:28:00Z,paid,PAY-C03-000036,order_gateway_payout_candidate
ORD-C03-000037,SEL-C03-037,BUY-C03-0260,634.37,BRL,2026-03-10T15:41:00Z,paid,PAY-C03-000037,order_gateway_payout_candidate
ORD-C03-000038,SEL-C03-038,BUY-C03-0267,1488.47,BRL,2026-03-11T15:54:00Z,paid,PAY-C03-000038,order_gateway_payout_candidate
ORD-C03-000039,SEL-C03-039,BUY-C03-0274,1419.10,BRL,2026-03-12T16:07:00Z,paid,PAY-C03-000039,order_gateway_payout_candidate
ORD-C03-000040,SEL-C03-040,BUY-C03-0281,505.56,BRL,2026-03-13T12:00:00Z,paid,PAY-C03-000040,order_gateway_payout_candidate
ORD-C03-000041,SEL-C03-041,BUY-C03-0288,899.18,BRL,2026-03-14T12:13:00Z,paid,PAY-C03-000041,order_gateway_payout_candidate
ORD-C03-000042,SEL-C03-042,BUY-C03-0295,971.48,BRL,2026-03-15T12:26:00Z,paid,PAY-C03-000042,order_gateway_payout_candidate
ORD-C03-000043,SEL-C03-043,BUY-C03-0302,1498.19,BRL,2026-03-16T12:39:00Z,paid,PAY-C03-000043,order_gateway_payout_candidate
ORD-C03-000044,SEL-C03-044,BUY-C03-0309,1599.72,BRL,2026-03-17T12:52:00Z,paid,PAY-C03-000044,order_gateway_payout_candidate
ORD-C03-000045,SEL-C03-045,BUY-C03-0316,249.15,BRL,2026-03-18T13:05:00Z,paid,PAY-C03-000045,order_gateway_payout_candidate
ORD-C03-000046,SEL-C03-046,BUY-C03-0323,318.80,BRL,2026-03-19T13:18:00Z,paid,PAY-C03-000046,order_gateway_payout_candidate
ORD-C03-000047,SEL-C03-047,BUY-C03-0330,1468.39,BRL,2026-03-20T13:31:00Z,paid,PAY-C03-000047,order_gateway_payout_candidate
ORD-C03-000048,SEL-C03-048,BUY-C03-0337,482.59,USD,2026-03-21T13:44:00Z,paid,PAY-C03-000048,order_gateway_payout_candidate
ORD-C03-000049,SEL-C03-049,BUY-C03-0344,1158.67,BRL,2026-03-22T13:57:00Z,paid,PAY-C03-000049,order_gateway_payout_candidate
ORD-C03-000050,SEL-C03-050,BUY-C03-0351,697.10,BRL,2026-03-23T14:10:00Z,paid,PAY-C03-000050,order_gateway_payout_candidate
ORD-C03-000051,SEL-C03-001,BUY-C03-0358,1029.91,BRL,2026-03-24T14:23:00Z,refunded,PAY-C03-000051,order_has_refund
ORD-C03-000052,SEL-C03-002,BUY-C03-0365,1259.05,BRL,2026-03-25T14:36:00Z,paid,PAY-C03-000052,order_gateway_payout_candidate
ORD-C03-000053,SEL-C03-003,BUY-C03-0372,289.59,BRL,2026-03-26T14:49:00Z,paid,PAY-C03-000053,order_gateway_payout_candidate
ORD-C03-000054,SEL-C03-004,BUY-C03-0379,2105.18,BRL,2026-03-27T15:02:00Z,paid,PAY-C03-000054,order_gateway_payout_candidate
ORD-C03-000055,SEL-C03-005,BUY-C03-0386,836.58,BRL,2026-03-28T15:15:00Z,paid,PAY-C03-000055,order_gateway_payout_candidate
ORD-C03-000056,SEL-C03-006,BUY-C03-0393,1830.21,BRL,2026-03-29T15:28:00Z,paid,PAY-C03-000056,order_gateway_payout_candidate
ORD-C03-000057,SEL-C03-007,BUY-C03-0400,1143.42,BRL,2026-03-30T15:41:00Z,paid,PAY-C03-000057,order_gateway_payout_candidate
ORD-C03-000058,SEL-C03-008,BUY-C03-0407,686.92,BRL,2026-03-31T15:54:00Z,disputed,PAY-C03-000058,order_needs_review
ORD-C03-000059,SEL-C03-009,BUY-C03-0414,34.38,BRL,2026-04-01T16:07:00Z,paid,PAY-C03-000059,order_gateway_payout_candidate
ORD-C03-000060,SEL-C03-010,BUY-C03-0421,843.26,EUR,2026-04-02T12:00:00Z,paid,PAY-C03-000060,order_gateway_payout_candidate
ORD-C03-000061,SEL-C03-011,BUY-C03-0428,1522.21,BRL,2026-04-03T12:13:00Z,paid,PAY-C03-000061,order_gateway_payout_candidate
ORD-C03-000062,SEL-C03-012,BUY-C03-0435,582.12,BRL,2026-03-04T12:26:00Z,pending,PAY-C03-000062,order_not_captured_yet
ORD-C03-000063,SEL-C03-013,BUY-C03-0442,1368.34,BRL,2026-03-05T12:39:00Z,paid,PAY-C03-000063,order_gateway_payout_candidate
ORD-C03-000064,SEL-C03-014,BUY-C03-0449,1357.77,BRL,2026-03-06T12:52:00Z,paid,PAY-C03-000064,order_gateway_payout_candidate
ORD-C03-000065,SEL-C03-015,BUY-C03-0456,1757.84,BRL,2026-03-07T13:05:00Z,paid,PAY-C03-000065,order_gateway_payout_candidate
ORD-C03-000066,SEL-C03-016,BUY-C03-0463,2042.06,BRL,2026-03-08T13:18:00Z,paid,PAY-C03-000066,order_gateway_payout_candidate
ORD-C03-000067,SEL-C03-017,BUY-C03-0470,290.76,BRL,2026-03-09T13:31:00Z,paid,PAY-C03-000067,order_gateway_payout_candidate
ORD-C03-000068,SEL-C03-018,BUY-C03-0477,1052.70,BRL,2026-03-10T13:44:00Z,refunded,PAY-C03-000068,order_has_refund
ORD-C03-000069,SEL-C03-019,BUY-C03-0484,1191.07,BRL,2026-03-11T13:57:00Z,paid,PAY-C03-000069,order_gateway_payout_candidate
ORD-C03-000070,SEL-C03-020,BUY-C03-0491,608.45,BRL,2026-03-12T14:10:00Z,paid,PAY-C03-000070,order_gateway_payout_candidate
ORD-C03-000071,SEL-C03-021,BUY-C03-0498,454.98,BRL,2026-03-13T14:23:00Z,paid,PAY-C03-000071,order_gateway_payout_candidate
ORD-C03-000072,SEL-C03-022,BUY-C03-0505,491.30,BRL,2026-03-14T14:36:00Z,paid,PAY-C03-000072,order_gateway_payout_candidate
