refund_id,order_id,gateway_tx_id,seller_id,amount,currency,refunded_at,reason,scenario
REFUND-C03-000001,ORD-C03-000008,GTW-C03-000008,SEL-C03-008,380.10,BRL,2026-03-18T12:13:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000002,ORD-C03-000015,GTW-C03-000015,SEL-C03-015,533.51,BRL,2026-03-25T12:26:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000003,ORD-C03-000022,GTW-C03-000022,SEL-C03-022,571.83,BRL,2026-04-01T12:39:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000004,ORD-C03-000029,GTW-C03-000029,SEL-C03-029,448.61,BRL,2026-04-08T12:52:00Z,fraud_review,refund_links_to_gateway_and_order
REFUND-C03-000005,ORD-C03-000036,GTW-C03-000036,SEL-C03-036,820.19,BRL,2026-03-15T13:05:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000006,ORD-C03-000043,GTW-C03-000043,SEL-C03-043,761.69,BRL,2026-03-22T13:18:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000007,ORD-C03-000050,GTW-C03-000050,SEL-C03-050,363.25,BRL,2026-03-29T13:31:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000008,ORD-C03-000057,GTW-C03-000057,SEL-C03-007,588.51,BRL,2026-04-05T13:44:00Z,fraud_review,refund_links_to_gateway_and_order
REFUND-C03-000009,ORD-C03-000064,GTW-C03-000064,SEL-C03-014,678.88,BRL,2026-03-12T13:57:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000010,ORD-C03-000071,GTW-C03-000071,SEL-C03-021,229.59,BRL,2026-03-19T14:10:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000011,ORD-C03-000078,GTW-C03-000078,SEL-C03-028,736.98,BRL,2026-03-26T14:23:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000012,ORD-C03-000085,GTW-C03-000085,SEL-C03-035,123.35,BRL,2026-04-02T14:36:00Z,fraud_review,refund_links_to_gateway_and_order
REFUND-C03-000013,ORD-C03-000092,GTW-C03-000092,SEL-C03-042,839.30,BRL,2026-04-09T14:49:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000014,ORD-C03-000099,GTW-C03-000099,SEL-C03-049,324.11,BRL,2026-03-16T15:02:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000015,ORD-C03-000106,GTW-C03-000106,SEL-C03-006,271.32,BRL,2026-03-23T15:15:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000016,ORD-C03-000113,GTW-C03-000113,SEL-C03-013,1059.17,BRL,2026-03-30T15:28:00Z,fraud_review,refund_links_to_gateway_and_order
REFUND-C03-000017,ORD-C03-000120,GTW-C03-000120,SEL-C03-020,662.29,USD,2026-04-06T15:41:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000018,ORD-C03-000127,GTW-C03-000127,SEL-C03-027,369.68,BRL,2026-03-13T15:54:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000019,ORD-C03-000134,GTW-C03-000134,SEL-C03-034,39.49,BRL,2026-03-20T12:00:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000020,ORD-C03-000141,GTW-C03-000141,SEL-C03-041,844.79,BRL,2026-03-27T12:13:00Z,fraud_review,refund_links_to_gateway_and_order
REFUND-C03-000021,ORD-C03-000148,GTW-C03-000148,SEL-C03-048,1016.67,BRL,2026-04-03T12:26:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000022,ORD-C03-000155,GTW-C03-000155,SEL-C03-005,988.64,BRL,2026-03-10T12:39:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000023,ORD-C03-000162,GTW-C03-000162,SEL-C03-012,518.80,BRL,2026-03-17T12:52:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000024,ORD-C03-000169,GTW-C03-000169,SEL-C03-019,543.01,BRL,2026-03-24T13:05:00Z,fraud_review,refund_links_to_gateway_and_order
REFUND-C03-000025,ORD-C03-000176,GTW-C03-000176,SEL-C03-026,597.87,BRL,2026-03-31T13:18:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000026,ORD-C03-000183,GTW-C03-000183,SEL-C03-033,326.99,BRL,2026-04-07T13:31:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000027,ORD-C03-000190,GTW-C03-000190,SEL-C03-040,723.71,BRL,2026-03-14T13:44:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000028,ORD-C03-000197,GTW-C03-000197,SEL-C03-047,696.82,BRL,2026-03-21T13:57:00Z,fraud_review,refund_links_to_gateway_and_order
REFUND-C03-000029,ORD-C03-000204,GTW-C03-000204,SEL-C03-004,43.21,EUR,2026-03-28T14:10:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000030,ORD-C03-000211,GTW-C03-000211,SEL-C03-011,345.07,BRL,2026-04-04T14:23:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000031,ORD-C03-000218,GTW-C03-000218,SEL-C03-018,779.61,BRL,2026-03-11T14:36:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000032,ORD-C03-000225,GTW-C03-000225,SEL-C03-025,134.57,BRL,2026-03-18T14:49:00Z,fraud_review,refund_links_to_gateway_and_order
REFUND-C03-000033,ORD-C03-000232,GTW-C03-000232,SEL-C03-032,1063.14,BRL,2026-03-25T15:02:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000034,ORD-C03-000239,GTW-C03-000239,SEL-C03-039,515.81,BRL,2026-04-01T15:15:00Z,customer_request,refund_links_to_gateway_and_order
