payout_id,seller_id,payout_batch_id,amount,currency,payout_date,included_order_ids,scenario
PO-C03-000001,SEL-C03-001,PB-C03-0001,4468.10,BRL,2026-03-09,ORD-C03-000001|ORD-C03-000051|ORD-C03-000101,aggregate_payout_many_orders
PO-C03-000002,SEL-C03-002,PB-C03-0001,3473.39,BRL,2026-03-10,ORD-C03-000002|ORD-C03-000052|ORD-C03-000102,aggregate_payout_many_orders
PO-C03-000003,SEL-C03-003,PB-C03-0001,3549.04,BRL,2026-03-11,ORD-C03-000003|ORD-C03-000053|ORD-C03-000103,aggregate_payout_many_orders
PO-C03-000004,SEL-C03-004,PB-C03-0001,3369.20,BRL,2026-03-12,ORD-C03-000004|ORD-C03-000054|ORD-C03-000104,aggregate_payout_many_orders
PO-C03-000005,SEL-C03-005,PB-C03-0001,2758.11,BRL,2026-03-13,ORD-C03-000005|ORD-C03-000055|ORD-C03-000105,aggregate_payout_many_orders
PO-C03-000006,SEL-C03-006,PB-C03-0001,4192.80,BRL,2026-03-14,ORD-C03-000006|ORD-C03-000056|ORD-C03-000106,aggregate_payout_many_orders
PO-C03-000007,SEL-C03-007,PB-C03-0001,3175.93,BRL,2026-03-15,ORD-C03-000007|ORD-C03-000057|ORD-C03-000107,aggregate_payout_many_orders
PO-C03-000008,SEL-C03-008,PB-C03-0001,3252.55,BRL,2026-03-16,ORD-C03-000008|ORD-C03-000058|ORD-C03-000108,aggregate_payout_many_orders
PO-C03-000009,SEL-C03-009,PB-C03-0001,1691.43,BRL,2026-03-17,ORD-C03-000009|ORD-C03-000059|ORD-C03-000109,aggregate_payout_many_orders
PO-C03-000010,SEL-C03-010,PB-C03-0001,3451.87,BRL,2026-03-18,ORD-C03-000010|ORD-C03-000060|ORD-C03-000110,aggregate_payout_many_orders
PO-C03-000011,SEL-C03-011,PB-C03-0001,3378.28,BRL,2026-03-19,ORD-C03-000011|ORD-C03-000061|ORD-C03-000111,aggregate_payout_many_orders
PO-C03-000012,SEL-C03-012,PB-C03-0001,4419.96,USD,2026-03-20,ORD-C03-000012|ORD-C03-000062|ORD-C03-000112,aggregate_payout_many_orders
PO-C03-000013,SEL-C03-013,PB-C03-0001,5109.68,BRL,2026-03-21,ORD-C03-000013|ORD-C03-000063|ORD-C03-000113,aggregate_payout_many_orders
PO-C03-000014,SEL-C03-014,PB-C03-0001,2910.15,BRL,2026-03-22,ORD-C03-000014|ORD-C03-000064|ORD-C03-000114,aggregate_payout_many_orders
PO-C03-000015,SEL-C03-015,PB-C03-0001,3361.77,BRL,2026-03-23,ORD-C03-000015|ORD-C03-000065|ORD-C03-000115,aggregate_payout_many_orders
PO-C03-000016,SEL-C03-016,PB-C03-0001,2971.34,BRL,2026-03-24,ORD-C03-000016|ORD-C03-000066|ORD-C03-000116,aggregate_payout_many_orders
PO-C03-000017,SEL-C03-017,PB-C03-0001,2439.99,BRL,2026-03-25,ORD-C03-000017|ORD-C03-000067|ORD-C03-000117,aggregate_payout_many_orders
PO-C03-000018,SEL-C03-018,PB-C03-0001,4274.32,BRL,2026-03-26,ORD-C03-000018|ORD-C03-000068|ORD-C03-000118,aggregate_payout_many_orders
PO-C03-000019,SEL-C03-019,PB-C03-0001,2576.73,BRL,2026-03-27,ORD-C03-000019|ORD-C03-000069|ORD-C03-000119,aggregate_payout_many_orders
PO-C03-000020,SEL-C03-020,PB-C03-0001,3822.47,BRL,2026-03-28,ORD-C03-000020|ORD-C03-000070|ORD-C03-000120,aggregate_payout_many_orders
PO-C03-000021,SEL-C03-021,PB-C03-0001,1834.77,BRL,2026-03-29,ORD-C03-000021|ORD-C03-000071|ORD-C03-000121,aggregate_payout_many_orders
PO-C03-000022,SEL-C03-022,PB-C03-0001,2960.90,BRL,2026-03-30,ORD-C03-000022|ORD-C03-000072|ORD-C03-000122,aggregate_payout_many_orders
PO-C03-000023,SEL-C03-023,PB-C03-0001,5658.42,BRL,2026-03-31,ORD-C03-000023|ORD-C03-000073|ORD-C03-000123,aggregate_payout_many_orders
PO-C03-000024,SEL-C03-024,PB-C03-0001,2324.01,EUR,2026-04-01,ORD-C03-000024|ORD-C03-000074|ORD-C03-000124,aggregate_payout_many_orders
PO-C03-000025,SEL-C03-025,PB-C03-0001,4360.02,BRL,2026-04-02,ORD-C03-000025|ORD-C03-000075|ORD-C03-000125,aggregate_payout_many_orders
PO-C03-000026,SEL-C03-026,PB-C03-0002,4350.24,BRL,2026-04-03,ORD-C03-000026|ORD-C03-000076|ORD-C03-000126,aggregate_payout_many_orders
PO-C03-000027,SEL-C03-027,PB-C03-0002,1135.73,BRL,2026-04-04,ORD-C03-000027|ORD-C03-000077|ORD-C03-000127,aggregate_payout_many_orders
PO-C03-000028,SEL-C03-028,PB-C03-0002,4366.57,BRL,2026-04-05,ORD-C03-000028|ORD-C03-000078|ORD-C03-000128,aggregate_payout_many_orders
PO-C03-000029,SEL-C03-029,PB-C03-0002,3771.04,BRL,2026-04-06,ORD-C03-000029|ORD-C03-000079|ORD-C03-000129,aggregate_payout_many_orders
PO-C03-000030,SEL-C03-030,PB-C03-0002,3139.12,BRL,2026-04-07,ORD-C03-000030|ORD-C03-000080|ORD-C03-000130,aggregate_payout_many_orders
PO-C03-000031,SEL-C03-031,PB-C03-0002,2111.79,BRL,2026-03-08,ORD-C03-000031|ORD-C03-000081|ORD-C03-000131,aggregate_payout_many_orders
