bank_tx_id,reference,amount,currency,booking_date,description,customer_ref,scenario
BANK-C04-000001,REF-C04-000001,55.07,BRL,2026-04-07,Synthetic bank transfer REF-C04-000001,CUST-C04-0012,bank_match_candidate
BANK-C04-000002,REF-C04-000002,780.08,BRL,2026-04-08,Synthetic bank transfer REF-C04-000002,CUST-C04-0023,bank_match_candidate
BANK-C04-000003,REF-C04-000003,1022.05,BRL,2026-04-09,Synthetic bank transfer REF-C04-000003,CUST-C04-0034,bank_match_candidate
BANK-C04-000004,REF-C04-000004,845.14,BRL,2026-04-10,Synthetic bank transfer REF-C04-000004,CUST-C04-0045,bank_match_candidate
BANK-C04-000005,REF-C04-000005,314.22,BRL,2026-04-11,Synthetic bank transfer REF-C04-000005,CUST-C04-0056,bank_match_candidate
BANK-C04-000006,REF-C04-000006,371.09,BRL,2026-04-12,Synthetic bank transfer REF-C04-000006,CUST-C04-0067,bank_match_candidate
BANK-C04-000007,REF-C04-000007,976.24,BRL,2026-04-13,Synthetic bank transfer REF-C04-000007,CUST-C04-0078,bank_match_candidate
BANK-C04-000008,REF-C04-000008,291.72,BRL,2026-04-14,Synthetic bank transfer REF-C04-000008,CUST-C04-0089,bank_match_candidate
BANK-C04-000009,REF-C04-000009,390.19,BRL,2026-04-15,Synthetic bank transfer REF-C04-000009,CUST-C04-0100,bank_match_candidate
BANK-C04-000010,REF-C04-000010,589.59,BRL,2026-04-16,Synthetic bank transfer REF-C04-000010,CUST-C04-0111,bank_match_candidate
BANK-C04-000011,REF-C04-000011,756.32,BRL,2026-04-17,Synthetic bank transfer REF-C04-000011,CUST-C04-0122,bank_match_candidate
BANK-C04-000012,REF-C04-000012,1083.41,USD,2026-04-18,Synthetic bank transfer REF-C04-000012,CUST-C04-0133,bank_match_candidate
BANK-C04-000013,REF-C04-000013,514.48,BRL,2026-04-19,Synthetic bank transfer REF-C04-000013,CUST-C04-0144,bank_match_candidate
BANK-C04-000014,REF-C04-000014,494.06,BRL,2026-04-20,Synthetic bank transfer REF-C04-000014,CUST-C04-0155,bank_match_candidate
BANK-C04-000015,REF-C04-000015,1042.13,BRL,2026-04-21,Synthetic bank transfer REF-C04-000015,CUST-C04-0166,bank_match_candidate
BANK-C04-000016,REF-C04-000016,1158.14,BRL,2026-04-22,Synthetic bank transfer REF-C04-000016,CUST-C04-0177,bank_match_candidate
BANK-C04-000017,REF-C04-000017,276.11,BRL,2026-04-23,Synthetic bank transfer REF-C04-000017,CUST-C04-0188,bank_match_candidate
BANK-C04-000018,REF-C04-000018,697.71,BRL,2026-04-24,Synthetic bank transfer REF-C04-000018,CUST-C04-0199,bank_match_candidate
BANK-C04-000019,REF-C04-000019,757.18,BRL,2026-04-25,Synthetic bank transfer REF-C04-000019,CUST-C04-0210,bank_match_candidate
BANK-C04-000020,REF-C04-000020,998.97,BRL,2026-04-26,Synthetic bank transfer REF-C04-000020,CUST-C04-0221,bank_match_candidate
BANK-C04-000021,REF-C04-000021,847.03,BRL,2026-04-27,Synthetic bank transfer REF-C04-000021,CUST-C04-0232,bank_match_candidate
BANK-C04-000022,REF-C04-000022,1270.40,BRL,2026-04-28,Synthetic bank transfer REF-C04-000022,CUST-C04-0243,bank_match_candidate
BANK-C04-000023,REF-C04-000023,859.81,BRL,2026-04-29,Synthetic bank transfer REF-C04-000023,CUST-C04-0254,bank_match_candidate
BANK-C04-000024,REF-C04-000024,309.82,EUR,2026-04-30,Synthetic bank transfer REF-C04-000024,CUST-C04-0265,bank_match_candidate
BANK-C04-000025,REF-C04-000025,569.77,BRL,2026-05-01,Synthetic bank transfer REF-C04-000025,CUST-C04-0276,bank_match_candidate
BANK-C04-000026,REF-C04-000026,999.52,BRL,2026-05-02,Synthetic bank transfer REF-C04-000026,CUST-C04-0287,bank_match_candidate
BANK-C04-000027,REF-C04-000027,385.79,BRL,2026-05-03,Synthetic bank transfer REF-C04-000027,CUST-C04-0298,bank_match_candidate
BANK-C04-000028,REF-C04-000028,1176.35,BRL,2026-04-06,Synthetic bank transfer REF-C04-000028,CUST-C04-0309,bank_match_candidate
BANK-C04-000029,REF-C04-000029,293.16,BRL,2026-04-07,Synthetic bank transfer REF-C04-000029,CUST-C04-0320,bank_match_candidate
BANK-C04-000030,REF-C04-000030,846.00,BRL,2026-04-08,Synthetic bank transfer REF-C04-000030,CUST-C04-0331,bank_match_candidate
BANK-C04-000031,REF-C04-000031,488.23,BRL,2026-04-09,Synthetic bank transfer REF-C04-000031,CUST-C04-0342,bank_match_candidate
BANK-C04-000032,REF-C04-000032,401.00,BRL,2026-04-10,Synthetic bank transfer REF-C04-000032,CUST-C04-0353,bank_match_candidate
BANK-C04-000033,REF-C04-000033,696.79,BRL,2026-04-11,Synthetic bank transfer REF-C04-000033,CUST-C04-0364,bank_match_candidate
BANK-C04-000034,REF-C04-000034,1058.67,BRL,2026-04-12,Synthetic bank transfer REF-C04-000034,CUST-C04-0375,bank_match_candidate
BANK-C04-000035,REF-C04-000035,53.70,BRL,2026-04-13,Synthetic bank transfer REF-C04-000035,CUST-C04-0386,bank_match_candidate
BANK-C04-000036,REF-C04-000036,360.74,BRL,2026-04-14,Synthetic bank transfer REF-C04-000036,CUST-C04-0397,bank_match_candidate
BANK-C04-000037,REF-C04-000037,586.12,BRL,2026-04-15,Synthetic bank transfer REF-C04-000037,CUST-C04-0408,bank_match_candidate
BANK-C04-000038,REF-C04-000038,1049.45,BRL,2026-04-16,Synthetic bank transfer REF-C04-000038,CUST-C04-0419,bank_match_candidate
BANK-C04-000039,REF-C04-000039,849.93,BRL,2026-04-17,Synthetic bank transfer REF-C04-000039,CUST-C04-0430,bank_match_candidate
BANK-C04-000040,REF-C04-000040,309.99,BRL,2026-04-18,Synthetic bank transfer REF-C04-000040,CUST-C04-0441,bank_match_candidate
BANK-C04-000041,REF-C04-000041,96.67,BRL,2026-04-19,Synthetic bank transfer REF-C04-000041,CUST-C04-0452,bank_match_candidate
BANK-C04-000042,REF-C04-000042,1100.43,BRL,2026-04-20,Synthetic bank transfer REF-C04-000042,CUST-C04-0463,bank_match_candidate
BANK-C04-000043,REF-C04-000043,-91.11,BRL,2026-04-21,Synthetic bank transfer REF-C04-000043,CUST-C04-0474,bank_match_candidate
BANK-C04-000044,REF-C04-000044,599.79,BRL,2026-04-22,Synthetic bank transfer REF-C04-000044,CUST-C04-0485,bank_match_candidate
BANK-C04-000045,REF-C04-000045,165.84,BRL,2026-04-23,Synthetic bank transfer REF-C04-000045,CUST-C04-0496,bank_match_candidate
BANK-C04-000046,REF-C04-000046,1253.25,BRL,2026-04-24,Synthetic bank transfer REF-C04-000046,CUST-C04-0507,bank_match_candidate
BANK-C04-000047,REF-C04-000047,315.80,BRL,2026-04-25,Synthetic bank transfer REF-C04-000047,CUST-C04-0518,small_tolerance_candidate
BANK-C04-000048,REF-C04-000048,371.74,USD,2026-04-26,Synthetic bank transfer REF-C04-000048,CUST-C04-0529,bank_match_candidate
BANK-C04-000049,REF-C04-000049,592.65,BRL,2026-04-27,Synthetic bank transfer REF-C04-000049,CUST-C04-0540,bank_match_candidate
BANK-C04-000050,REF-C04-000050,41.15,BRL,2026-04-28,Synthetic bank transfer REF-C04-000050,CUST-C04-0551,bank_match_candidate
BANK-C04-000051,REF-C04-000051,767.64,BRL,2026-04-29,Synthetic bank transfer REF-C04-000051,CUST-C04-0562,bank_match_candidate
