gateway_tx_id,reference,amount,currency,captured_at,description,authorization_code,scenario
GTW-C04-000001,REF-C04-000001,55.07,BRL,2026-04-08T08:12:00Z,Synthetic gateway capture REF-C04-000001,AUTH-C04-000001,gateway_match_candidate
GTW-C04-000002,REF-C04-000002,780.08,BRL,2026-04-09T08:24:00Z,Synthetic gateway capture REF-C04-000002,AUTH-C04-000002,gateway_match_candidate
GTW-C04-000003,REF-C04-000003,1022.05,BRL,2026-04-10T08:36:00Z,Synthetic gateway capture REF-C04-000003,AUTH-C04-000003,gateway_match_candidate
GTW-C04-000004,REF-C04-000004,845.14,BRL,2026-04-11T08:48:00Z,Synthetic gateway capture REF-C04-000004,AUTH-C04-000004,gateway_match_candidate
GTW-C04-000005,REF-C04-000005,314.22,BRL,2026-04-12T09:00:00Z,Synthetic gateway capture REF-C04-000005,AUTH-C04-000005,gateway_match_candidate
GTW-C04-000006,REF-C04-000006,371.09,BRL,2026-04-13T09:12:00Z,Synthetic gateway capture REF-C04-000006,AUTH-C04-000006,gateway_match_candidate
GTW-C04-000007,REF-C04-000007,976.24,BRL,2026-04-14T09:24:00Z,Synthetic gateway capture REF-C04-000007,AUTH-C04-000007,gateway_match_candidate
GTW-C04-000008,REF-C04-000008,291.72,BRL,2026-04-15T09:36:00Z,Synthetic gateway capture REF-C04-000008,AUTH-C04-000008,gateway_match_candidate
GTW-C04-000009,REF-C04-000009,390.19,BRL,2026-04-16T09:48:00Z,Synthetic gateway capture REF-C04-000009,AUTH-C04-000009,gateway_match_candidate
GTW-C04-000010,REF-C04-000010,589.59,BRL,2026-04-17T10:00:00Z,Synthetic gateway capture REF-C04-000010,AUTH-C04-000010,gateway_match_candidate
GTW-C04-000011,REF-C04-000011,756.32,BRL,2026-04-18T10:12:00Z,Synthetic gateway capture REF-C04-000011,AUTH-C04-000011,gateway_match_candidate
GTW-C04-000012,REF-C04-000012,1083.41,USD,2026-04-19T10:24:00Z,Synthetic gateway capture REF-C04-000012,AUTH-C04-000012,gateway_match_candidate
GTW-C04-000013,REF-C04-000013,514.48,BRL,2026-04-20T10:36:00Z,Synthetic gateway capture REF-C04-000013,AUTH-C04-000013,gateway_match_candidate
GTW-C04-000014,REF-C04-000014,494.06,BRL,2026-04-21T10:48:00Z,Synthetic gateway capture REF-C04-000014,AUTH-C04-000014,gateway_match_candidate
GTW-C04-000015,REF-C04-000015,1042.13,BRL,2026-04-22T11:00:00Z,Synthetic gateway capture REF-C04-000015,AUTH-C04-000015,gateway_match_candidate
GTW-C04-000016,REF-C04-000016,1158.14,BRL,2026-04-23T08:00:00Z,Synthetic gateway capture REF-C04-000016,AUTH-C04-000016,gateway_match_candidate
GTW-C04-000017,REF-C04-000017,276.11,BRL,2026-04-24T08:12:00Z,Synthetic gateway capture REF-C04-000017,AUTH-C04-000017,gateway_match_candidate
GTW-C04-000018,REF-C04-000018,697.71,BRL,2026-04-25T08:24:00Z,Synthetic gateway capture REF-C04-000018,AUTH-C04-000018,gateway_match_candidate
GTW-C04-000019,REF-C04-000019,757.18,BRL,2026-04-26T08:36:00Z,Synthetic gateway capture REF-C04-000019,AUTH-C04-000019,gateway_match_candidate
GTW-C04-000020,REF-C04-000020,998.97,BRL,2026-04-27T08:48:00Z,Synthetic gateway capture REF-C04-000020,AUTH-C04-000020,gateway_match_candidate
GTW-C04-000021,REF-C04-000021,847.03,BRL,2026-04-28T09:00:00Z,Synthetic gateway capture REF-C04-000021,AUTH-C04-000021,gateway_match_candidate
GTW-C04-000022,REF-C04-000022,1270.40,BRL,2026-04-29T09:12:00Z,Synthetic gateway capture REF-C04-000022,AUTH-C04-000022,gateway_match_candidate
GTW-C04-000023,REF-C04-000023,859.81,BRL,2026-04-30T09:24:00Z,Synthetic gateway capture REF-C04-000023,AUTH-C04-000023,gateway_match_candidate
GTW-C04-000024,REF-C04-000024,309.82,EUR,2026-05-01T09:36:00Z,Synthetic gateway capture REF-C04-000024,AUTH-C04-000024,gateway_match_candidate
GTW-C04-000025,REF-C04-000025,569.77,BRL,2026-05-02T09:48:00Z,Synthetic gateway capture REF-C04-000025,AUTH-C04-000025,gateway_match_candidate
GTW-C04-000026,REF-C04-000026,999.52,BRL,2026-05-03T10:00:00Z,Synthetic gateway capture REF-C04-000026,AUTH-C04-000026,gateway_match_candidate
GTW-C04-000027,REF-C04-000027,385.79,BRL,2026-05-04T10:12:00Z,Synthetic gateway capture REF-C04-000027,AUTH-C04-000027,gateway_match_candidate
GTW-C04-000028,REF-C04-000028,1176.35,BRL,2026-04-07T10:24:00Z,Synthetic gateway capture REF-C04-000028,AUTH-C04-000028,gateway_match_candidate
GTW-C04-000029,REF-C04-000029,293.16,BRL,2026-04-08T10:36:00Z,Synthetic gateway capture REF-C04-000029,AUTH-C04-000029,gateway_match_candidate
GTW-C04-000030,REF-C04-000030,846.00,BRL,2026-04-09T10:48:00Z,Synthetic gateway capture REF-C04-000030,AUTH-C04-000030,gateway_match_candidate
GTW-C04-000031,REF-C04-000031,488.23,BRL,2026-04-10T11:00:00Z,Synthetic gateway capture REF-C04-000031,AUTH-C04-000031,gateway_match_candidate
GTW-C04-000032,REF-C04-000032,401.00,BRL,2026-04-11T08:00:00Z,Synthetic gateway capture REF-C04-000032,AUTH-C04-000032,gateway_match_candidate
GTW-C04-000033,REF-C04-000033,696.79,BRL,2026-04-12T08:12:00Z,Synthetic gateway capture REF-C04-000033,AUTH-C04-000033,gateway_match_candidate
