ledger_tx_id,reference,amount,currency,occurred_at,description,customer_ref,scenario
LED-C04-000001,REF-C04-000001,55.07,BRL,2026-04-07T08:10:00Z,Synthetic ledger transfer REF-C04-000001,CUST-C04-0012,exception_lab_match_candidate
LED-C04-000002,REF-C04-000002,780.08,BRL,2026-04-08T08:20:00Z,Synthetic ledger transfer REF-C04-000002,CUST-C04-0023,exception_lab_match_candidate
LED-C04-000003,REF-C04-000003,1022.05,BRL,2026-04-09T08:30:00Z,Synthetic ledger transfer REF-C04-000003,CUST-C04-0034,exception_lab_match_candidate
LED-C04-000004,REF-C04-000004,845.14,BRL,2026-04-10T08:40:00Z,Synthetic ledger transfer REF-C04-000004,CUST-C04-0045,exception_lab_match_candidate
LED-C04-000005,REF-C04-000005,314.22,BRL,2026-04-11T08:50:00Z,Synthetic ledger transfer REF-C04-000005,CUST-C04-0056,exception_lab_match_candidate
LED-C04-000006,REF-C04-000006,371.09,BRL,2026-04-12T09:00:00Z,Synthetic ledger transfer REF-C04-000006,CUST-C04-0067,exception_lab_match_candidate
LED-C04-000007,REF-C04-000007,976.24,BRL,2026-04-13T09:10:00Z,Synthetic ledger transfer REF-C04-000007,CUST-C04-0078,exception_lab_match_candidate
LED-C04-000008,REF-C04-000008,291.72,BRL,2026-04-14T09:20:00Z,Synthetic ledger transfer REF-C04-000008,CUST-C04-0089,exception_lab_match_candidate
LED-C04-000009,REF-C04-000009,390.19,BRL,2026-04-15T09:30:00Z,Synthetic ledger transfer REF-C04-000009,CUST-C04-0100,exception_lab_match_candidate
LED-C04-000010,REF-C04-000010,589.59,BRL,2026-04-16T09:40:00Z,Synthetic ledger transfer REF-C04-000010,CUST-C04-0111,exception_lab_match_candidate
LED-C04-000011,REF-C04-000011,756.32,BRL,2026-04-17T09:50:00Z,Synthetic ledger transfer REF-C04-000011,CUST-C04-0122,exception_lab_match_candidate
LED-C04-000012,REF-C04-000012,1083.41,USD,2026-04-18T10:00:00Z,Synthetic ledger transfer REF-C04-000012,CUST-C04-0133,exception_lab_match_candidate
LED-C04-000013,REF-C04-000013,514.48,BRL,2026-04-19T10:10:00Z,Synthetic ledger transfer REF-C04-000013,CUST-C04-0144,exception_lab_match_candidate
LED-C04-000014,REF-C04-000014,494.06,BRL,2026-04-20T10:20:00Z,Synthetic ledger transfer REF-C04-000014,CUST-C04-0155,exception_lab_match_candidate
LED-C04-000015,REF-C04-000015,1042.13,BRL,2026-04-21T10:30:00Z,Synthetic ledger transfer REF-C04-000015,CUST-C04-0166,exception_lab_match_candidate
LED-C04-000016,REF-C04-000016,1158.14,BRL,2026-04-22T08:00:00Z,Synthetic ledger transfer REF-C04-000016,CUST-C04-0177,exception_lab_match_candidate
LED-C04-000017,REF-C04-000017,276.11,BRL,2026-04-23T08:10:00Z,Synthetic ledger transfer REF-C04-000017,CUST-C04-0188,exception_lab_match_candidate
LED-C04-000018,REF-C04-000018,697.71,BRL,2026-04-24T08:20:00Z,Synthetic ledger transfer REF-C04-000018,CUST-C04-0199,exception_lab_match_candidate
LED-C04-000019,REF-C04-000019,757.18,BRL,2026-04-25T08:30:00Z,Synthetic ledger transfer REF-C04-000019,CUST-C04-0210,exception_lab_match_candidate
LED-C04-000020,REF-C04-000020,998.97,BRL,2026-04-26T08:40:00Z,Synthetic ledger transfer REF-C04-000020,CUST-C04-0221,exception_lab_match_candidate
LED-C04-000021,REF-C04-000021,847.03,BRL,2026-04-27T08:50:00Z,Synthetic ledger transfer REF-C04-000021,CUST-C04-0232,exception_lab_match_candidate
LED-C04-000022,REF-C04-000022,1270.40,BRL,2026-04-28T09:00:00Z,Synthetic ledger transfer REF-C04-000022,CUST-C04-0243,exception_lab_match_candidate
LED-C04-000023,REF-C04-000023,859.81,BRL,2026-04-29T09:10:00Z,Synthetic ledger transfer REF-C04-000023,CUST-C04-0254,exception_lab_match_candidate
LED-C04-000024,REF-C04-000024,309.82,EUR,2026-04-30T09:20:00Z,Synthetic ledger transfer REF-C04-000024,CUST-C04-0265,exception_lab_match_candidate
